encoder,quality,img_id,bytes,bpp,wall_s,wall_per_mpx,max_rss_kb
webp,60,img061,381408,0.1925,1.660,0.105,83072
webp,75,img061,480378,0.2425,1.670,0.105,82944
webp,90,img061,1110524,0.5606,1.820,0.115,83072
avif,28,img061,82846,0.0418,0.520,0.033,250520
avif,36,img061,159385,0.0805,0.800,0.050,254864
avif,44,img061,317354,0.1602,0.630,0.040,260120
jxl,30,img061,206228,0.1041,0.540,0.034,664104
jxl,50,img061,291920,0.1474,0.580,0.037,666920
jxl,70,img061,442521,0.2234,0.560,0.035,671060
jxl,90,img061,1032161,0.5211,0.570,0.036,684536
webp,60,img062,276392,0.1082,2.190,0.107,106880
webp,75,img062,357746,0.1400,2.150,0.105,106880
webp,90,img062,1019968,0.3992,2.410,0.118,107008
avif,28,img062,74979,0.0293,0.600,0.029,312560
avif,36,img062,96776,0.0379,0.670,0.033,320620
avif,44,img062,131811,0.0516,0.700,0.034,336108
jxl,30,img062,194120,0.0760,0.800,0.039,851160
jxl,50,img062,242028,0.0947,0.760,0.037,852028
jxl,70,img062,342716,0.1341,0.720,0.035,854792
jxl,90,img062,1040144,0.4071,0.780,0.038,874812
webp,60,img063,231470,0.1083,1.700,0.099,88320
webp,75,img063,305668,0.1430,1.720,0.101,88192
webp,90,img063,949426,0.4443,1.930,0.113,88320
avif,28,img063,51471,0.0241,0.480,0.028,250568
avif,36,img063,79062,0.0370,0.580,0.034,253640
avif,44,img063,130665,0.0611,0.560,0.033,260812
jxl,30,img063,133687,0.0626,0.660,0.039,712020
jxl,50,img063,175803,0.0823,0.620,0.036,713436
jxl,70,img063,272237,0.1274,0.610,0.036,716248
jxl,90,img063,801033,0.3748,0.600,0.035,731892
webp,60,img064,662874,0.2210,2.620,0.109,125184
webp,75,img064,813628,0.2712,2.550,0.106,125184
webp,90,img064,1864550,0.6215,3.000,0.125,125184
avif,28,img064,243841,0.0813,0.900,0.037,382164
avif,36,img064,385395,0.1285,1.040,0.043,387412
avif,44,img064,641690,0.2139,1.220,0.051,399956
jxl,30,img064,448150,0.1494,0.950,0.040,1004036
jxl,50,img064,582094,0.1940,0.860,0.036,1007580
jxl,70,img064,829777,0.2766,0.860,0.036,1014576
jxl,90,img064,1783790,0.5946,0.860,0.036,1033640
webp,60,img065,291072,0.2350,1.200,0.121,57856
webp,75,img065,356852,0.2881,1.160,0.117,57856
webp,90,img065,873238,0.7049,1.320,0.133,57856
avif,28,img065,82457,0.0666,0.480,0.048,155024
avif,36,img065,105898,0.0855,0.490,0.049,156560
avif,44,img065,139822,0.1129,0.560,0.057,162444
jxl,30,img065,214651,0.1733,0.390,0.039,427008
jxl,50,img065,273087,0.2205,0.400,0.040,428288
jxl,70,img065,379529,0.3064,0.430,0.043,430980
jxl,90,img065,952622,0.7690,0.460,0.046,446592
webp,60,img066,1058080,0.8579,1.520,0.154,62080
webp,75,img066,1323318,1.0730,1.620,0.164,62080
webp,90,img066,2673098,2.1675,1.740,0.176,70832
avif,28,img066,222013,0.1800,0.550,0.056,158800
avif,36,img066,354514,0.2875,0.600,0.061,161108
avif,44,img066,563143,0.4566,0.710,0.072,166100
jxl,30,img066,463387,0.3757,0.420,0.043,438652
jxl,50,img066,649112,0.5263,0.430,0.044,444020
jxl,70,img066,1028401,0.8339,0.440,0.045,455804
jxl,90,img066,2154586,1.7470,0.460,0.047,474488
webp,60,img067,812536,0.2939,2.690,0.122,123520
webp,75,img067,1046922,0.3787,2.670,0.121,123520
webp,90,img067,2621284,0.9481,3.080,0.139,123520
avif,28,img067,292755,0.1059,1.000,0.045,359832
avif,36,img067,502269,0.1817,1.090,0.049,366488
avif,44,img067,910046,0.3292,1.340,0.061,377112
jxl,30,img067,533115,0.1928,0.830,0.038,934708
jxl,50,img067,719520,0.2602,0.860,0.039,939268
jxl,70,img067,1091452,0.3948,0.850,0.038,951896
jxl,90,img067,2578537,0.9326,0.900,0.041,987696
webp,60,img068,359012,0.1484,1.830,0.095,96256
webp,75,img068,437124,0.1807,1.830,0.095,96512
webp,90,img068,896572,0.3706,1.920,0.099,96384
avif,28,img068,128487,0.0531,0.600,0.031,262720
avif,36,img068,213727,0.0883,0.640,0.033,263868
avif,44,img068,350563,0.1449,0.670,0.035,266560
jxl,30,img068,212371,0.0878,0.630,0.033,804088
jxl,50,img068,283100,0.1170,0.650,0.034,806064
jxl,70,img068,423090,0.1749,0.700,0.036,809476
jxl,90,img068,874825,0.3616,0.650,0.034,817688
webp,60,img069,1011308,0.7693,1.530,0.145,65792
webp,75,img069,1199172,0.9123,1.500,0.143,65664
webp,90,img069,2274836,1.7306,1.690,0.161,65664
avif,28,img069,306042,0.2328,0.560,0.053,173412
avif,36,img069,443278,0.3372,0.660,0.063,176360
avif,44,img069,625011,0.4755,0.780,0.074,179812
jxl,30,img069,604126,0.4596,0.450,0.043,466448
jxl,50,img069,798346,0.6073,0.500,0.048,470532
jxl,70,img069,1118197,0.8507,0.520,0.049,477064
jxl,90,img069,2097829,1.5959,0.600,0.057,492176
webp,60,img070,1202892,0.3327,4.090,0.141,163840
webp,75,img070,1433160,0.3964,3.840,0.133,163840
webp,90,img070,3590212,0.9929,4.310,0.149,163712
avif,28,img070,285527,0.0790,1.730,0.060,406392
avif,36,img070,359395,0.0994,2.010,0.069,409208
avif,44,img070,462781,0.1280,2.220,0.077,413556
jxl,30,img070,862781,0.2386,1.210,0.042,1227616
jxl,50,img070,1065953,0.2948,1.200,0.041,1232220
jxl,70,img070,1468556,0.4062,1.220,0.042,1240008
jxl,90,img070,3346708,0.9256,1.280,0.044,1300132
webp,60,img071,155560,0.1165,1.140,0.107,56960
webp,75,img071,192130,0.1439,1.100,0.103,57088
webp,90,img071,453078,0.3394,1.200,0.112,56960
avif,28,img071,32875,0.0246,0.360,0.034,151920
avif,36,img071,54488,0.0408,0.430,0.040,152548
avif,44,img071,111289,0.0834,0.420,0.039,159856
jxl,30,img071,114635,0.0859,0.440,0.041,451300
jxl,50,img071,144520,0.1083,0.420,0.039,452072
jxl,70,img071,200466,0.1502,0.400,0.037,453864
jxl,90,img071,507439,0.3801,0.400,0.037,460508
webp,60,img072,848634,0.2829,3.020,0.126,131072
webp,75,img072,1072426,0.3575,3.050,0.127,131200
webp,90,img072,2230690,0.7436,3.460,0.144,131072
avif,28,img072,225796,0.0753,1.050,0.044,361560
avif,36,img072,308785,0.1029,1.060,0.044,369112
avif,44,img072,438459,0.1462,1.290,0.054,379604
jxl,30,img072,601209,0.2004,0.950,0.040,1009336
jxl,50,img072,824978,0.2750,1.070,0.045,1015272
jxl,70,img072,1102177,0.3674,1.050,0.044,1020436
jxl,90,img072,1690016,0.5633,0.990,0.041,1024484
webp,60,img073,1659976,0.6060,3.310,0.151,129664
webp,75,img073,2217688,0.8095,3.410,0.156,130048
webp,90,img073,5066898,1.8496,3.830,0.175,134744
avif,28,img073,126335,0.0461,0.910,0.042,308060
avif,36,img073,283321,0.1034,1.040,0.047,318168
avif,44,img073,674906,0.2464,1.310,0.060,341592
jxl,30,img073,539723,0.1970,0.980,0.045,939148
jxl,50,img073,878165,0.3206,0.970,0.044,952148
jxl,70,img073,1601216,0.5845,1.270,0.058,978904
jxl,90,img073,3977633,1.4520,1.370,0.063,1028676
webp,60,img074,171746,0.1850,0.890,0.120,44800
webp,75,img074,245290,0.2642,1.120,0.151,44928
webp,90,img074,854392,0.9202,1.480,0.199,44800
avif,28,img074,37208,0.0401,0.430,0.058,117148
avif,36,img074,52092,0.0561,0.450,0.061,119512
avif,44,img074,75137,0.0809,0.390,0.053,124504
jxl,30,img074,96048,0.1034,0.360,0.048,320260
jxl,50,img074,124390,0.1340,0.330,0.044,320640
jxl,70,img074,202809,0.2184,0.340,0.046,323208
jxl,90,img074,742691,0.7999,0.380,0.051,341384
webp,60,img075,211154,0.1135,1.750,0.118,78336
webp,75,img075,252740,0.1359,1.960,0.132,78336
webp,90,img075,585534,0.3148,2.250,0.151,78336
avif,28,img075,80244,0.0431,0.830,0.056,241812
avif,36,img075,115163,0.0619,1.000,0.067,247048
avif,44,img075,158093,0.0850,0.800,0.054,255500
jxl,30,img075,189841,0.1021,0.580,0.039,622300
jxl,50,img075,237214,0.1275,0.890,0.060,623140
jxl,70,img075,321917,0.1731,0.770,0.052,625184
jxl,90,img075,751936,0.4043,0.980,0.066,636080
webp,60,img076,1173110,1.0214,1.810,0.197,61824
webp,75,img076,1484452,1.2925,1.990,0.217,61696
webp,90,img076,2904508,2.5289,2.220,0.242,75440
avif,28,img076,166797,0.1452,0.660,0.072,151652
avif,36,img076,343553,0.2991,0.810,0.088,156772
avif,44,img076,618236,0.5383,0.640,0.070,160604
jxl,30,img076,367835,0.3203,0.510,0.056,410956
jxl,50,img076,566653,0.4934,0.470,0.051,418648
jxl,70,img076,936649,0.8155,0.730,0.079,429908
jxl,90,img076,2160637,1.8812,0.780,0.085,454472
webp,60,img077,1460954,0.3284,6.670,0.187,193152
webp,75,img077,1772428,0.3985,6.870,0.193,193152
webp,90,img077,3968186,0.8921,7.090,0.199,193280
avif,28,img077,473723,0.1065,2.470,0.069,506756
avif,36,img077,885183,0.1990,1.870,0.053,518412
avif,44,img077,1412766,0.3176,2.580,0.073,553996
jxl,30,img077,776447,0.1746,2.220,0.062,1504248
jxl,50,img077,1070706,0.2407,2.810,0.079,1512376
jxl,70,img077,1584059,0.3561,1.800,0.051,1523984
jxl,90,img077,3340283,0.7509,1.780,0.050,1554288
webp,60,img078,1389408,1.7497,1.470,0.231,46720
webp,75,img078,1659076,2.0893,1.360,0.214,47368
webp,90,img078,2949596,3.7144,1.610,0.253,73612
avif,28,img078,352713,0.4442,0.590,0.093,117284
avif,36,img078,523646,0.6594,0.680,0.107,118568
avif,44,img078,749425,0.9437,0.720,0.113,119716
jxl,30,img078,552548,0.6958,0.390,0.061,297764
jxl,50,img078,761797,0.9593,0.400,0.063,302124
jxl,70,img078,1098306,1.3831,0.490,0.077,310528
jxl,90,img078,2069683,2.6063,0.450,0.071,325800
webp,60,img079,1559832,2.0710,1.360,0.226,45312
webp,75,img079,1849906,2.4562,1.400,0.232,50860
webp,90,img079,3106322,4.1244,1.570,0.261,77476
avif,28,img079,369915,0.4911,0.510,0.085,108868
avif,36,img079,562677,0.7471,0.670,0.111,110796
avif,44,img079,844314,1.1210,0.700,0.116,111944
jxl,30,img079,567973,0.7541,0.370,0.061,286740
jxl,50,img079,789074,1.0477,0.400,0.066,291224
jxl,70,img079,1172422,1.5567,0.420,0.070,300948
jxl,90,img079,2204601,2.9271,0.490,0.081,316056
webp,60,img080,1350694,1.7721,1.570,0.257,45184
webp,75,img080,1638496,2.1497,1.380,0.226,46224
webp,90,img080,2869182,3.7643,1.580,0.259,71572
avif,28,img080,336051,0.4409,0.580,0.095,113592
avif,36,img080,502247,0.6589,0.670,0.110,114740
avif,44,img080,725216,0.9515,0.770,0.126,115380
jxl,30,img080,527929,0.6926,0.400,0.066,287604
jxl,50,img080,729246,0.9567,0.440,0.072,292212
jxl,70,img080,1065146,1.3974,0.400,0.066,299892
jxl,90,img080,2028825,2.6618,0.450,0.074,314868
webp,60,img081,536596,0.4041,1.810,0.170,60160
webp,75,img081,638424,0.4808,1.580,0.149,60160
webp,90,img081,1272456,0.9582,1.740,0.164,60160
avif,28,img081,318126,0.2396,0.600,0.056,168608
avif,36,img081,538085,0.4052,0.810,0.076,171556
avif,44,img081,718826,0.5413,0.790,0.074,182308
jxl,30,img081,283031,0.2131,0.490,0.046,457340
jxl,50,img081,377759,0.2845,0.530,0.050,460280
jxl,70,img081,553606,0.4169,0.530,0.050,464508
jxl,90,img081,1096448,0.8257,0.750,0.071,472952
webp,60,img082,771644,0.1717,5.100,0.142,186880
webp,75,img082,939558,0.2090,4.660,0.130,187008
webp,90,img082,2533660,0.5637,4.890,0.136,187008
avif,28,img082,304888,0.0678,1.310,0.036,470320
avif,36,img082,526740,0.1172,1.410,0.039,480948
avif,44,img082,798223,0.1776,1.470,0.041,520116
jxl,30,img082,451172,0.1004,1.810,0.050,1501084
jxl,50,img082,629008,0.1400,1.610,0.045,1504848
jxl,70,img082,875663,0.1948,1.760,0.049,1510340
jxl,90,img082,2096881,0.4665,1.490,0.041,1540764
webp,60,img083,2654308,0.1499,76.040,0.537,720640
webp,75,img083,3128948,0.1766,76.460,0.540,720640
webp,90,img083,7330720,0.4139,77.890,0.550,720768
avif,28,img083,581873,0.0329,5.810,0.041,1865544
avif,36,img083,709750,0.0401,6.420,0.045,1945284
avif,44,img083,885998,0.0500,6.680,0.047,2031816
jxl,30,img083,1606105,0.0907,6.780,0.048,5820104
jxl,50,img083,1979984,0.1118,7.640,0.054,5825320
jxl,70,img083,2554399,0.1442,6.510,0.046,5834044
jxl,90,img083,6354483,0.3588,6.840,0.048,5927552
webp,60,img084,451600,0.2534,2.180,0.153,81408
webp,75,img084,565136,0.3170,2.170,0.152,81408
webp,90,img084,1368534,0.7678,2.550,0.179,81408
avif,28,img084,125699,0.0705,0.890,0.062,213116
avif,36,img084,171710,0.0963,0.930,0.065,218104
avif,44,img084,236971,0.1329,0.890,0.062,225396
jxl,30,img084,303035,0.1700,0.780,0.055,606876
jxl,50,img084,395187,0.2217,0.810,0.057,608612
jxl,70,img084,551613,0.3095,0.830,0.058,611580
jxl,90,img084,1321487,0.7414,0.750,0.053,632960
webp,60,img085,2004850,0.4420,14.520,0.400,210944
webp,75,img085,2809204,0.6194,18.800,0.518,210816
webp,90,img085,5885026,1.2976,21.830,0.602,210944
avif,28,img085,627098,0.1383,2.290,0.063,550420
avif,36,img085,876057,0.1932,3.040,0.084,568464
avif,44,img085,1208135,0.2664,3.260,0.090,581264
jxl,30,img085,1247221,0.2750,1.920,0.053,1543736
jxl,50,img085,1586875,0.3499,1.950,0.054,1550284
jxl,70,img085,2194596,0.4839,1.970,0.054,1562640
jxl,90,img085,4878873,1.0757,2.110,0.058,1629204
webp,60,img086,800548,0.0892,9.310,0.130,364928
webp,75,img086,998552,0.1113,8.980,0.125,365184
webp,90,img086,3219042,0.3588,34.100,0.475,365312
avif,28,img086,155098,0.0173,2.130,0.030,864280
avif,36,img086,212668,0.0237,2.250,0.031,925596
avif,44,img086,302447,0.0337,2.340,0.033,1009436
jxl,30,img086,572552,0.0638,2.740,0.038,2957116
jxl,50,img086,686766,0.0766,2.780,0.039,2957504
jxl,70,img086,987911,0.1101,2.510,0.035,2963500
jxl,90,img086,2900831,0.3234,2.570,0.036,3007692
webp,60,img087,2709032,0.5826,16.460,0.442,220288
webp,75,img087,3271706,0.7036,15.980,0.430,220288
webp,90,img087,6646356,1.4294,17.920,0.482,220416
avif,28,img087,763698,0.1642,2.200,0.059,608464
avif,36,img087,1011213,0.2175,2.570,0.069,612556
avif,44,img087,1332875,0.2867,2.910,0.078,614604
jxl,30,img087,1460843,0.3142,1.550,0.042,1585560
jxl,50,img087,1859113,0.3998,1.560,0.042,1594084
jxl,70,img087,2544411,0.5472,1.570,0.042,1606852
jxl,90,img087,5516201,1.1863,1.670,0.045,1683228
webp,60,img088,895360,0.1676,4.170,0.098,217472
webp,75,img088,1124738,0.2106,4.080,0.095,217472
webp,90,img088,2535322,0.4747,4.620,0.108,217472
avif,28,img088,248660,0.0466,1.370,0.032,620784
avif,36,img088,388221,0.0727,1.490,0.035,624236
avif,44,img088,697233,0.1305,1.620,0.038,631276
jxl,30,img088,611748,0.1145,1.420,0.033,1770312
jxl,50,img088,784989,0.1470,1.470,0.034,1775432
jxl,70,img088,1133634,0.2123,1.440,0.034,1783012
jxl,90,img088,2619871,0.4905,1.480,0.035,1815840
webp,60,img089,993226,0.2359,4.250,0.126,185600
webp,75,img089,1196866,0.2843,4.160,0.124,185600
webp,90,img089,3118046,0.7406,14.570,0.433,185600
avif,28,img089,254565,0.0605,1.160,0.034,528944
avif,36,img089,354049,0.0841,1.240,0.037,538668
avif,44,img089,483968,0.1149,1.380,0.041,545196
jxl,30,img089,650164,0.1544,1.340,0.040,1411808
jxl,50,img089,821530,0.1951,1.340,0.040,1414892
jxl,70,img089,1128465,0.2680,1.340,0.040,1420700
jxl,90,img089,2933839,0.6968,1.440,0.043,1471956
webp,60,img090,2045376,0.6469,3.830,0.151,153600
webp,75,img090,2646894,0.8371,3.650,0.144,153728
webp,90,img090,5926968,1.8744,4.350,0.172,153600
avif,28,img090,339433,0.1073,1.040,0.041,378928
avif,36,img090,606999,0.1920,1.150,0.045,389676
avif,44,img090,1091480,0.3452,1.270,0.050,403120
jxl,30,img090,853406,0.2699,1.040,0.041,1089596
jxl,50,img090,1274636,0.4031,1.060,0.042,1103708
jxl,70,img090,2089160,0.6607,1.100,0.043,1131796
jxl,90,img090,4990544,1.5783,1.170,0.046,1193716
webp,60,img091,4299992,0.3997,35.280,0.410,491264
webp,75,img091,5436714,0.5054,36.570,0.425,491264
webp,90,img091,13208862,1.2280,43.820,0.509,491392
avif,28,img091,986608,0.0917,4.950,0.058,1237740
avif,36,img091,1439080,0.1338,5.000,0.058,1287260
avif,44,img091,2061782,0.1917,5.390,0.063,1313120
jxl,30,img091,2316657,0.2154,4.240,0.049,3628864
jxl,50,img091,2972572,0.2763,4.240,0.049,3643388
jxl,70,img091,4321036,0.4017,4.340,0.050,3673456
jxl,90,img091,10856745,1.0093,4.540,0.053,3847924
webp,60,img092,191994,0.2815,0.830,0.152,33664
webp,75,img092,244524,0.3585,0.740,0.136,33536
webp,90,img092,568068,0.8329,0.850,0.156,33536
avif,28,img092,44946,0.0659,0.280,0.051,87680
avif,36,img092,68859,0.1010,0.290,0.053,91136
avif,44,img092,107209,0.1572,0.340,0.062,95876
jxl,30,img092,109320,0.1603,0.250,0.046,239720
jxl,50,img092,154893,0.2271,0.280,0.051,241008
jxl,70,img092,229019,0.3358,0.250,0.046,243056
jxl,90,img092,514093,0.7538,0.260,0.048,248812
webp,60,img093,574880,0.3034,2.140,0.141,87936
webp,75,img093,751572,0.3966,2.250,0.148,87936
webp,90,img093,1872868,0.9883,2.540,0.168,87936
avif,28,img093,126719,0.0669,0.800,0.053,238516
avif,36,img093,177691,0.0938,0.850,0.056,244144
avif,44,img093,262165,0.1383,0.930,0.061,248752
jxl,30,img093,342916,0.1810,0.740,0.049,647304
jxl,50,img093,456715,0.2410,0.760,0.050,649712
jxl,70,img093,679525,0.3586,0.740,0.049,655968
jxl,90,img093,1758279,0.9278,0.780,0.051,685232
webp,60,img094,3325012,1.1083,4.540,0.189,150272
webp,75,img094,4023516,1.3412,4.310,0.180,150272
webp,90,img094,7241388,2.4138,8.190,0.341,181948
avif,28,img094,1040335,0.3468,2.350,0.098,368328
avif,36,img094,1585590,0.5285,2.620,0.109,375108
avif,44,img094,2377155,0.7924,2.830,0.118,385372
jxl,30,img094,1654852,0.5516,1.300,0.054,1062168
jxl,50,img094,2247366,0.7491,1.370,0.057,1078132
jxl,70,img094,3299465,1.0998,1.380,0.057,1109624
jxl,90,img094,6167408,2.0558,1.520,0.063,1153656
webp,60,img095,2960778,0.1540,84.870,0.552,800256
webp,75,img095,3725404,0.1938,72.410,0.471,800512
webp,90,img095,10588002,0.5508,85.430,0.555,800384
avif,28,img095,493525,0.0257,4.460,0.029,1821040
avif,36,img095,778331,0.0405,4.350,0.028,1926000
avif,44,img095,1208307,0.0629,4.610,0.030,2093044
jxl,30,img095,1627277,0.0846,10.820,0.070,6338732
jxl,50,img095,2154079,0.1121,6.580,0.043,6351040
jxl,70,img095,3259519,0.1696,5.550,0.036,6371924
jxl,90,img095,8983799,0.4673,5.790,0.038,6529832
webp,60,img096,290392,0.3592,0.910,0.141,40064
webp,75,img096,367760,0.4549,0.800,0.124,40064
webp,90,img096,844274,1.0443,0.930,0.144,40064
avif,28,img096,132336,0.1637,0.710,0.110,115656
avif,36,img096,227666,0.2816,0.400,0.062,119244
avif,44,img096,343529,0.4249,0.450,0.070,123340
jxl,30,img096,194003,0.2400,0.300,0.046,284308
jxl,50,img096,256197,0.3169,0.260,0.040,286096
jxl,70,img096,363651,0.4498,0.260,0.040,288792
jxl,90,img096,783562,0.9692,0.300,0.046,297616
webp,60,img097,2435764,0.8889,3.580,0.163,137728
webp,75,img097,3028930,1.1054,3.410,0.156,137984
webp,90,img097,6140710,2.2411,3.940,0.180,151460
avif,28,img097,488897,0.1784,0.940,0.043,344672
avif,36,img097,853498,0.3115,1.030,0.047,353760
avif,44,img097,1386561,0.5060,1.190,0.054,362848
jxl,30,img097,1026781,0.3747,1.010,0.046,959168
jxl,50,img097,1499106,0.5471,0.940,0.043,973276
jxl,70,img097,2272173,0.8292,0.980,0.045,996272
jxl,90,img097,4850767,1.7703,1.040,0.047,1041888
webp,60,img098,1088736,0.1851,5.650,0.120,252800
webp,75,img098,1435894,0.2442,5.480,0.116,252800
webp,90,img098,4311496,0.7331,20.270,0.431,252928
avif,28,img098,182353,0.0310,1.340,0.028,612396
avif,36,img098,305260,0.0519,1.390,0.030,638380
avif,44,img098,503773,0.0857,1.460,0.031,673448
jxl,30,img098,636042,0.1081,1.710,0.036,1959960
jxl,50,img098,837063,0.1423,1.730,0.037,1966160
jxl,70,img098,1292153,0.2197,1.750,0.037,1978560
jxl,90,img098,3742701,0.6364,1.810,0.038,2044304
webp,60,img099,620562,0.6867,1.090,0.151,47744
webp,75,img099,774684,0.8573,1.070,0.148,47744
webp,90,img099,1686750,1.8666,1.240,0.172,47744
avif,28,img099,118623,0.1313,0.390,0.054,128812
avif,36,img099,200323,0.2217,0.440,0.061,130348
avif,44,img099,324965,0.3596,0.510,0.071,131120
jxl,30,img099,288327,0.3191,0.320,0.044,321588
jxl,50,img099,411694,0.4556,0.320,0.044,325548
jxl,70,img099,623670,0.6902,0.330,0.046,331316
jxl,90,img099,1388801,1.5369,0.360,0.050,348340
webp,60,img100,82500,0.0550,1.320,0.110,66688
webp,75,img100,146668,0.0978,1.320,0.110,66688
webp,90,img100,1144078,0.7627,1.680,0.140,66688
avif,28,img100,9838,0.0066,0.310,0.026,162832
avif,36,img100,11726,0.0078,0.310,0.026,165776
avif,44,img100,15211,0.0101,0.330,0.028,172940
jxl,30,img100,47303,0.0315,0.430,0.036,505652
jxl,50,img100,53946,0.0360,0.450,0.037,505480
jxl,70,img100,81374,0.0542,0.430,0.036,506544
jxl,90,img100,789236,0.5262,0.480,0.040,542240
webp,60,img001,2086274,0.5531,4.110,0.136,173184
webp,75,img001,2579334,0.6838,4.010,0.133,173184
webp,90,img001,5562694,1.4747,4.700,0.156,173312
avif,28,img001,1005561,0.2666,1.690,0.056,509980
avif,36,img001,2217606,0.5879,2.470,0.082,519708
avif,44,img001,3402161,0.9020,2.260,0.075,528284
jxl,30,img001,1159950,0.3075,1.220,0.040,1288996
jxl,50,img001,1562600,0.4143,1.160,0.038,1299032
jxl,70,img001,2248498,0.5961,1.210,0.040,1316404
jxl,90,img001,4829777,1.2804,1.490,0.049,1375648
webp,60,img002,3089212,0.5859,6.320,0.150,247936
webp,75,img002,4133390,0.7840,18.850,0.447,247808
webp,90,img002,8861132,1.6807,20.890,0.495,247808
avif,28,img002,708259,0.1343,1.810,0.043,635468
avif,36,img002,1084003,0.2056,1.860,0.044,647888
avif,44,img002,1619361,0.3072,2.030,0.048,661836
jxl,30,img002,1533003,0.2908,1.670,0.040,1802192
jxl,50,img002,2099290,0.3982,1.830,0.043,1816252
jxl,70,img002,3136735,0.5950,1.730,0.041,1848692
jxl,90,img002,7099492,1.3466,1.860,0.044,1937452
webp,60,img003,1768182,0.3913,4.660,0.129,201088
webp,75,img003,2230010,0.4935,4.530,0.125,201088
webp,90,img003,5299766,1.1728,16.420,0.454,201088
avif,28,img003,334684,0.0741,1.290,0.036,583760
avif,36,img003,754750,0.1670,1.480,0.041,596052
avif,44,img003,1831575,0.4053,1.690,0.047,612308
jxl,30,img003,859953,0.1903,1.570,0.043,1526032
jxl,50,img003,1255867,0.2779,1.390,0.038,1539392
jxl,70,img003,2166352,0.4794,1.590,0.044,1568040
jxl,90,img003,3740588,0.8277,1.840,0.051,1585532
webp,60,img004,1230892,0.8800,2.210,0.197,71936
webp,75,img004,1581110,1.1303,2.190,0.196,71936
webp,90,img004,3308888,2.3655,2.390,0.214,83392
avif,28,img004,244486,0.1748,0.520,0.046,180612
avif,36,img004,437311,0.3126,0.570,0.051,185472
avif,44,img004,731742,0.5231,0.630,0.056,190212
jxl,30,img004,407976,0.2917,0.480,0.043,492596
jxl,50,img004,601640,0.4301,0.550,0.049,498844
jxl,70,img004,1053125,0.7529,0.590,0.053,514964
jxl,90,img004,2485061,1.7766,0.590,0.053,545564
webp,60,img005,1332342,0.6346,2.860,0.170,102528
webp,75,img005,1702700,0.8110,2.830,0.168,102656
webp,90,img005,3769158,1.7952,3.230,0.192,102528
avif,28,img005,279329,0.1330,0.880,0.052,265420
avif,36,img005,445522,0.2122,1.120,0.067,269764
avif,44,img005,685465,0.3265,1.380,0.082,275020
jxl,30,img005,605707,0.2885,0.990,0.059,726656
jxl,50,img005,843939,0.4020,1.000,0.060,732996
jxl,70,img005,1278187,0.6088,1.100,0.065,746124
jxl,90,img005,3005212,1.4314,1.140,0.068,785688
webp,60,img006,1492542,0.5428,4.520,0.205,128128
webp,75,img006,1809674,0.6581,3.460,0.157,128256
webp,90,img006,3783042,1.3757,4.210,0.191,128256
avif,28,img006,418151,0.1521,1.230,0.056,352092
avif,36,img006,618217,0.2248,1.360,0.062,356060
avif,44,img006,881632,0.3206,1.720,0.078,359516
jxl,30,img006,866468,0.3151,1.270,0.058,941696
jxl,50,img006,1157409,0.4209,1.190,0.054,948268
jxl,70,img006,1617989,0.5884,1.120,0.051,959340
jxl,90,img006,3354568,1.2199,1.190,0.054,995660
webp,60,img007,3020216,1.8996,3.020,0.237,88704
webp,75,img007,3626100,2.2806,2.660,0.209,93960
webp,90,img007,5999378,3.7733,3.210,0.252,143368
avif,28,img007,960591,0.6042,1.500,0.118,221360
avif,36,img007,1430827,0.8999,1.650,0.130,223152
avif,44,img007,2079583,1.3080,1.920,0.151,225452
jxl,30,img007,1313590,0.8262,0.740,0.058,585644
jxl,50,img007,1796945,1.1302,0.730,0.057,597884
jxl,70,img007,2642307,1.6619,0.850,0.067,620360
jxl,90,img007,4971733,3.1270,0.950,0.075,653760
webp,60,img008,475108,0.3245,1.760,0.150,69632
webp,75,img008,685348,0.4681,1.800,0.154,69760
webp,90,img008,1837706,1.2552,2.020,0.172,69760
avif,28,img008,66548,0.0455,0.520,0.044,184936
avif,36,img008,95814,0.0654,0.540,0.046,187624
avif,44,img008,146502,0.1001,0.570,0.049,190956
jxl,30,img008,192855,0.1317,0.510,0.044,501240
jxl,50,img008,270803,0.1850,0.600,0.051,503960
jxl,70,img008,462444,0.3159,0.580,0.050,511584
jxl,90,img008,1460863,0.9978,0.600,0.051,540620
webp,60,img009,1468308,0.5311,3.470,0.157,128128
webp,75,img009,1785310,0.6457,3.320,0.150,128000
webp,90,img009,3639506,1.3164,3.770,0.170,128128
avif,28,img009,388796,0.1406,1.160,0.052,345364
avif,36,img009,579500,0.2096,1.350,0.061,350228
avif,44,img009,846012,0.3060,1.590,0.072,356372
jxl,30,img009,795624,0.2878,1.040,0.047,945428
jxl,50,img009,1090254,0.3943,1.030,0.047,953444
jxl,70,img009,1547154,0.5596,1.130,0.051,964944
jxl,90,img009,3094524,1.1193,1.120,0.051,994676
webp,60,img010,179546,0.0819,2.130,0.122,92288
webp,75,img010,221842,0.1013,2.050,0.117,92288
webp,90,img010,789138,0.3602,2.370,0.135,92416
avif,28,img010,37897,0.0173,0.520,0.030,242244
avif,36,img010,52334,0.0239,0.590,0.034,248512
avif,44,img010,72953,0.0333,0.640,0.037,260800
jxl,30,img010,139565,0.0637,0.670,0.038,731908
jxl,50,img010,169866,0.0775,0.730,0.042,732744
