encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
webp,90,img026,2626880,2.980,2.960,0.080,118528
avif,28,img026,239437,0.830,1.580,0.130,290120
avif,36,img026,350383,0.920,1.910,0.150,301000
avif,44,img026,548036,0.970,2.120,0.150,314948
jxl,30,img026,584735,0.790,1.170,0.330,893172
jxl,50,img026,932956,0.810,1.170,0.350,906356
jxl,70,img026,1241714,0.820,1.180,0.360,911172
jxl,90,img026,1811295,0.820,1.220,0.340,917288
webp,60,img027,345654,1.550,1.530,0.030,76800
webp,75,img027,488320,1.590,1.600,0.020,76800
webp,90,img027,1492514,1.870,1.850,0.060,76928
avif,28,img027,29450,0.390,0.470,0.070,181292
avif,36,img027,47423,0.390,0.480,0.070,187952
avif,44,img027,91766,0.410,0.530,0.080,198320
jxl,30,img027,130818,0.520,0.730,0.190,567968
jxl,50,img027,194877,0.590,0.830,0.250,570040
jxl,70,img027,363708,0.530,0.760,0.220,577136
jxl,90,img027,1218069,0.580,0.840,0.270,602320
webp,60,img028,444750,2.840,2.670,0.050,129280
webp,75,img028,687238,2.760,2.760,0.060,129408
webp,90,img028,2306098,3.340,3.340,0.070,129408
avif,28,img028,50303,0.660,0.810,0.140,330696
avif,36,img028,74266,0.690,0.920,0.150,337860
avif,44,img028,116424,0.760,0.980,0.180,351432
jxl,30,img028,206139,0.900,1.380,0.420,1004748
jxl,50,img028,293480,0.910,1.330,0.410,1006808
jxl,70,img028,542066,0.880,1.300,0.380,1016264
jxl,90,img028,2025583,0.930,1.450,0.380,1060648
webp,60,img029,426136,1.600,1.580,0.040,78976
webp,75,img029,580172,1.630,1.640,0.030,78848
webp,90,img029,1632834,2.090,2.120,0.070,78720
avif,28,img029,74651,0.460,0.590,0.090,206608
avif,36,img029,116359,0.490,0.680,0.100,211868
avif,44,img029,182378,0.520,0.820,0.090,217496
jxl,30,img029,221106,0.550,0.830,0.250,574148
jxl,50,img029,305075,0.520,0.750,0.220,576596
jxl,70,img029,478666,0.540,0.810,0.220,581888
jxl,90,img029,1379717,0.630,0.920,0.260,608680
webp,60,img030,992996,1.420,1.330,0.030,60416
webp,75,img030,1183958,1.400,1.380,0.050,60672
webp,90,img030,2165654,1.590,1.570,0.050,62596
avif,28,img030,699194,0.750,1.610,0.090,174380
avif,36,img030,941950,0.710,1.610,0.070,175276
avif,44,img030,1175435,0.760,1.820,0.070,177960
jxl,30,img030,498199,0.420,0.670,0.180,454320
jxl,50,img030,678487,0.440,0.670,0.200,459184
jxl,70,img030,987283,0.440,0.700,0.200,466604
jxl,90,img030,1819212,0.460,0.750,0.200,480048
webp,60,img031,693472,4.180,3.950,0.140,209792
webp,75,img031,834644,4.160,4.180,0.110,209920
webp,90,img031,1892260,4.600,4.640,0.090,209920
avif,28,img031,165874,1.170,1.710,0.270,603088
avif,36,img031,281949,1.250,2.030,0.270,611276
avif,44,img031,501594,1.400,2.420,0.260,626128
jxl,30,img031,439842,1.390,2.150,0.670,1740384
jxl,50,img031,566596,1.430,2.300,0.670,1743004
jxl,70,img031,779540,1.410,2.250,0.660,1747872
jxl,90,img031,1815047,1.400,2.150,0.660,1771436
webp,60,img032,172634,1.840,1.760,0.050,93824
webp,75,img032,210660,1.940,1.940,0.050,93824
webp,90,img032,630380,2.430,2.430,0.060,93696
avif,28,img032,35599,0.560,0.670,0.150,282748
avif,36,img032,49152,0.570,0.680,0.130,288512
avif,44,img032,68566,0.570,0.770,0.140,297728
jxl,30,img032,137891,0.640,0.970,0.290,746916
jxl,50,img032,172228,0.720,1.070,0.310,747416
jxl,70,img032,234609,0.830,1.150,0.390,748392
jxl,90,img032,740028,0.840,1.160,0.410,762660
webp,60,img033,492334,3.160,3.050,0.100,140800
webp,75,img033,778976,3.370,3.100,0.270,140928
webp,90,img033,2998334,4.010,3.950,0.130,140928
avif,28,img033,57976,0.780,0.950,0.170,348668
avif,36,img033,82458,0.960,1.160,0.220,357760
avif,44,img033,121024,1.010,1.210,0.250,373248
jxl,30,img033,209272,1.420,1.730,0.510,1086940
jxl,50,img033,286816,1.260,1.580,0.610,1088392
